company_id,company_name,sector,hq_state,founded_year,fiscal_year,revenue_musd,net_income_musd,net_margin_pct,employees,rd_spend_musd,market_cap_musd,total_assets_musd,revenue_growth_pct,fortune500_rank,roa_pct,revenue_per_employee_k
C0001,Horizon Labs,Energy,CT,1903,2014,261598.5,16291.1,6.23,2010290,7720.3,527240.9,688097.4,-5.15,71,2.37,130.1
C0001,Horizon Labs,Energy,CT,1903,2015,273634.4,-7877.7,-2.88,2132940,4026.9,264495.1,377416.4,4.6,71,-2.09,128.3
C0001,Horizon Labs,Energy,CT,1903,2016,327324.6,-2953.0,-0.9,2403239,2295.8,755235.6,594606.4,19.62,59,-0.5,136.2
C0001,Horizon Labs,Energy,CT,1903,2017,373499.8,-29687.9,-7.95,2902023,5870.2,904873.0,1174234.7,14.11,50,-2.53,128.7
C0001,Horizon Labs,Energy,CT,1903,2018,316283.1,-39665.3,-12.54,2560423,3657.3,667701.9,696698.1,-15.32,79,-5.69,123.5
C0001,Horizon Labs,Energy,CT,1903,2019,482119.4,21950.0,4.55,3426426,953.8,1677597.6,973033.4,52.43,40,2.26,140.7
C0001,Horizon Labs,Energy,CT,1903,2020,386842.5,-29422.1,-7.61,3235206,8684.2,516636.0,589007.3,-19.76,59,-5.0,119.6
C0001,Horizon Labs,Energy,CT,1903,2021,353691.8,-9929.8,-2.81,2874688,934.9,170610.2,491008.2,-8.57,84,-2.02,123.0
C0001,Horizon Labs,Energy,CT,1903,2022,416563.3,-21231.3,-5.1,3525395,7830.7,640226.0,1271245.5,17.78,73,-1.67,118.2
C0001,Horizon Labs,Energy,CT,1903,2023,595716.8,12804.1,2.15,4391746,16192.2,1090735.3,672004.9,43.01,45,1.91,135.6
C0002,National Technologies,Energy,CA,1895,2014,55607.4,-400.0,-0.72,289020,2067.9,39015.6,63783.2,22.85,338,-0.63,192.4
C0002,National Technologies,Energy,CA,1895,2015,40761.2,-4742.7,-11.64,181724,1389.8,87819.4,113542.9,-26.7,401,-4.18,224.3
C0002,National Technologies,Energy,CA,1895,2016,49312.5,-1920.1,-3.89,233133,639.0,127521.8,109808.1,20.98,382,-1.75,211.5
C0002,National Technologies,Energy,CA,1895,2017,48819.9,-2722.6,-5.58,235389,964.0,128658.1,86688.7,-1.0,389,-3.14,207.4
C0002,National Technologies,Energy,CA,1895,2018,46685.2,451.7,0.97,217101,360.8,63467.2,135019.8,-4.37,403,0.33,215.0
C0002,National Technologies,Energy,CA,1895,2019,64517.7,-1761.1,-2.73,306901,1634.0,163709.1,196481.9,38.2,364,-0.9,210.2
C0002,National Technologies,Energy,CA,1895,2020,45048.9,2661.6,5.91,220218,832.2,167716.8,97986.6,-30.18,409,2.72,204.6
C0002,National Technologies,Energy,CA,1895,2021,58038.2,-277.8,-0.48,257219,385.5,121027.8,104174.0,28.83,392,-0.27,225.6
C0002,National Technologies,Energy,CA,1895,2022,59688.8,-535.2,-0.9,273907,1974.0,151553.6,135732.9,2.84,397,-0.39,217.9
C0002,National Technologies,Energy,CA,1895,2023,80913.2,6266.7,7.75,381845,2990.2,273773.7,73681.4,35.56,363,8.51,211.9
C0003,Metro Technologies,Industrials,GA,1901,2014,74730.8,9464.4,12.66,576347,808.1,119816.1,200449.6,3.8,281,4.72,129.7
C0003,Metro Technologies,Industrials,GA,1901,2015,67383.8,6197.3,9.2,560760,2597.2,307321.1,89721.6,-9.83,298,6.91,120.2
